Symbol,Quantity,Price,Action,Description,TradeDate,SettledDate,Interest,Amount,Commission,Fee,CUSIP,RecordType
TSM         ,1.00,208.71,BUY,***TAIWAN SEMICONDUCTOR MFG CO LTD-SPONSORED ADR REPSTG 5 COM UNSOLICITED                                                                                                                                               ,2025-01-10,2025-01-13,0.00,-208.71,0.00,0.00,874039100,Trade
GRAB        ,50.00,4.5291,BUY,***GRAB HOLDINGS LIMITED       CLASS A ORDINARY SHARES        UNSOLICITED                                                                                                                                               ,2025-01-10,2025-01-13,0.00,-226.46,0.00,0.00,G4124C109,Trade
NVDA        ,1.00,132.5091,BUY,NVIDIA CORP                    UNSOLICITED                                                                                                                                                                              ,2025-01-13,2025-01-14,0.00,-132.51,0.00,0.00,67066G104,Trade
TSM         ,1.00,201.3573,BUY,***TAIWAN SEMICONDUCTOR MFG CO LTD-SPONSORED ADR REPSTG 5 COM UNSOLICITED                                                                                                                                               ,2025-01-13,2025-01-14,0.00,-201.36,0.00,0.00,874039100,Trade
GRAB        ,1.00,4.4892,BUY,***GRAB HOLDINGS LIMITED       CLASS A ORDINARY SHARES        UNSOLICITED                                                                                                                                               ,2025-01-15,2025-01-16,0.00,-4.49,0.00,0.00,G4124C109,Trade
GRAB        ,10.00,4.4892,BUY,***GRAB HOLDINGS LIMITED       CLASS A ORDINARY SHARES        UNSOLICITED                                                                                                                                               ,2025-01-15,2025-01-16,0.00,-44.89,0.00,0.00,G4124C109,Trade
            ,0.00,,Interest,INTEREST ON CREDIT BALANCE AT  0.150  01/01 THRU 01/15      ,2025-01-16,2025-01-16,0.00,0.02,0.00,0.00,00099A109,Financial
TSM         ,1.00,189.5192,BUY,***TAIWAN SEMICONDUCTOR MFG CO LTD-SPONSORED ADR REPSTG 5 COM UNSOLICITED                                                                                                                                               ,2025-01-27,2025-01-28,0.00,-189.52,0.00,0.00,874039100,Trade
NVDA        ,3.00,117.349,BUY,NVIDIA CORP                    UNSOLICITED                                                                                                                                                                              ,2025-01-27,2025-01-28,0.00,-352.05,0.00,0.00,67066G104,Trade
            ,0.00,,Other,ACH DEPOSIT SEN(20250127247788)      ,2025-01-27,2025-01-27,0.00,1000.00,0.00,0.00,         ,Financial
NVDA        ,1.00,117.9392,BUY,NVIDIA CORP                    UNSOLICITED                                                                                                                                                                              ,2025-01-27,2025-01-28,0.00,-117.94,0.00,0.00,67066G104,Trade
NVDA        ,3.00,117.6388,BUY,NVIDIA CORP                    UNSOLICITED                                                                                                                                                                              ,2025-02-03,2025-02-04,0.00,-352.92,0.00,0.00,67066G104,Trade
            ,0.00,,Interest,INTEREST ON CREDIT BALANCE AT  0.150  01/16 THRU 02/15      ,2025-02-18,2025-02-18,0.00,0.04,0.00,0.00,00099A109,Financial
            ,0.00,,Interest,INTEREST ON CREDIT BALANCE AT  0.150  02/16 THRU 03/15      ,2025-03-17,2025-03-17,0.00,0.02,0.00,0.00,00099A109,Financial
QQQM        ,0.00,,Dividend,INVESCO EXCHANGE TRADED FD TR II INVESCO NASDAQ 100 ETF CASH DIV  ON       1 SHS REC 03/24/25 PAY 03/28/25 NON-QUALIFIED DIVIDEND NON-RES TAX WITHHELD  $0.10,2025-03-28,2025-03-28,0.00,0.32,0.00,0.00,46138G649,Financial
NVDA        ,0.00,,Dividend,NVIDIA CORP CASH DIV  ON      21 SHS REC 03/12/25 PAY 04/02/25 NON-RES TAX WITHHELD    $0.06,2025-04-02,2025-04-02,0.00,0.21,0.00,0.00,67066G104,Financial
TSM         ,0.00,,Dividend,***TAIWAN SEMICONDUCTOR MFG CO LTD-SPONSORED ADR REPSTG 5 COM CASH DIV  ON       3 SHS REC 03/18/25 PAY 04/10/25 FOREIGN TAX WITHHELD   $0.43,2025-04-10,2025-04-10,0.00,2.03,0.00,0.00,874039100,Financial
            ,0.00,,Interest,INTEREST ON CREDIT BALANCE AT  0.150  03/16 THRU 04/15      ,2025-04-16,2025-04-16,0.00,0.02,0.00,0.00,00099A109,Financial
